MotherLot,ChildLotId,ProductName,WorkOrder,PanelId,MagazineId
A20041100022,A20041100022,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.001,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.002,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.003,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.004,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.005,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.006,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.007,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.008,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.009,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.010,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.011,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.012,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.013,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.014,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.015,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.016,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.017,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.018,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.019,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100022,A20041100022.020,122-000000-K68H,SP104-200400004,HA180104020769,HT04
A20041100025,A20041100025,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.001,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.002,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.003,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.004,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.005,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.006,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.007,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.008,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.009,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.010,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.011,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.012,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.013,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.014,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.015,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.016,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.017,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.018,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.019,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100025,A20041100025.020,122-000000-K68H,SP104-200400004,HA180104020725,HT04
A20041100034,A20041100034,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.001,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.002,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.003,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.004,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.005,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.006,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.007,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.008,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.009,122-000000-K68H,SP104-200400004,HA180104020517,HT04
A20041100034,A20041100034.010,122-000000-K68H,SP104-200400004,HA180104020517,HT04
